VG	1/09	virus
VG	1/09	viruset
AP	1/16	virusfamilien
DB	1/21	familien
AP	1/21	virusutbruddet
DB	1/21	virusvaksiner
VG	1/22	virusepidemier
DB	1/24	smitte
DB	1/24	sykehuset
VG	1/24	utbruddet
VG	1/25	epidemien
AP	1/25	pasienter
VG	1/25	smittede
DN	1/27	virusutbrudd
DB	1/28	fast
VG	1/28	virusets
VG	1/29	virussmitte
VG	1/30	smitten
DN	1/30	virusen
AA	1/31	merket
AP	1/31	virusene
VG	1/31	virussmittede
VG	2/01	spredning
VG	2/02	dødsfall
VG	2/02	dødsfallet
VG	2/02	rammede
VG	2/02	smittetilfeller
DB	2/02	tilfelle
VG	2/02	virusinfeksjon
VG	2/02	virussymptomer
VG	2/02	vitsene
VG	2/03	gjennombrudd
VG	2/03	sykehus
VG	2/06	varsler
VG	2/06	virusepidemien
DB	2/06	virussykdom2
VG	2/08	varsleren
VG	2/10	kritikk
DB	2/10	virusspøk
DB	2/11	virussmittet
VG	2/12	smittet
VG	2/12	utløst
AP	2/13	debatten
DA	2/14	fritt
DB	2/14	karantene
VG	2/16	frykten
DN	2/18	virusadvarsel
DN	2/18	virustap
DB	2/19	infisert
DN	2/19	optimisme
DB	2/20	virusdødsfall
VG	2/21	prøver
DN	2/21	tap
AA	2/21	test
DB	2/24	mysterium
DN	2/24	utsatt
VG	2/25	avstengt
VG	2/25	krise
SA	2/25	pasientene
VG	2/25	post
VG	2/25	situasjonen
DN	2/25	stopp
SA	2/25	tester
VG	2/25	viruskarantene
AP	2/26	frykt
VG	2/26	tiltak
DB	2/26	tsar
SA	2/26	utbrudd
VG	2/26	viruspasient
AA	2/26	virustester
NL	2/26	virustilfelle
VG	2/26	virustrusselen
VG	2/27	beredskap
VG	2/27	damene
BT	2/27	epidemi
VG	2/27	koret
VG	2/27	mistanke
DN	2/27	nedturen
DB	2/27	pasient
VG	2/27	spådommer
BT	2/27	spørsmål
DB	2/27	sykdom
BT	2/27	syke
DN	2/27	utstyr
AA	2/27	virusepidemi
BT	2/27	virushar
DA	2/27	virussykdommen
NL	2/28	dekning
VG	2/28	fare
BT	2/28	informasjon
SA	2/28	legevakt
DB	2/28	permittere
NL	2/28	plan
BT	2/28	rom
AA	2/28	råd
BT	2/28	samtaler
DB	2/28	sending
DB	2/28	sjekk
DN	2/28	syk
AA	2/28	testing
AA	2/28	tilfellet
DB	2/28	tsaren
VG	2/28	vaksine
AP	2/28	vaksinen
VG	2/28	virusbeskyttelse
SA	2/28	virustesten
DB	2/29	prøvesvar
VG	2/29	studio
AA	2/29	trusselen
BT	2/29	virusrammede
AA	2/29	virusrutiner
DN	3/01	knekk
DA	3/01	kobling
SA	3/01	retningslinjer
DB	3/01	smittete
NL	3/01	tilfellene
DA	3/01	utviklingen
AA	3/02	angst
AA	3/02	angsten
DA	3/02	beskyttelse
AP	3/02	dager
DN	3/02	effekt
VG	3/02	hamstring
BT	3/02	infiserte
AA	3/02	inspektører
AA	3/02	land
VG	3/02	nyheter
DN	3/02	patent
VG	3/02	regler
AA	3/02	stoff
DB	3/02	svindel
DB	3/02	svindlere
BT	3/02	telefonen
NL	3/02	testes
BT	3/02	testet
DN	3/02	viruseffekten
DB	3/02	viruskontrollører
AP	3/03	behandling
DN	3/03	effekten
DN	3/03	grep
SA	3/03	områder
VG	3/03	problemet
VG	3/03	prøve
NL	3/03	pågangen
DA	3/03	tilfeller
VG	3/03	trøbbel
DA	3/03	viruseffekt
DN	3/03	viruspanikken
DA	3/03	virussituasjonen
AA	3/03	virussykdom
SA	3/03	virustest
DB	3/04	alarm
VG	3/04	bekymret
DA	3/04	influenser
AP	3/04	krisen
DN	3/04	melding
SA	3/04	nummer
VG	3/04	permitteringer
AA	3/04	prøvene
DA	3/04	saker
DB	3/04	smitterisiko
SA	3/04	smittetilfelle
AA	3/04	smittetiltak
VG	3/04	spredningen
VG	3/04	testene
DN	3/04	trøblete
DN	3/04	uroen
VG	3/04	vasken
VG	3/05	avlyst
AA	3/05	kamp
VG	3/05	karante
VG	3/05	klarsignal
DN	3/05	måned
DN	3/05	relatert
DN	3/05	samtalen
SA	3/05	smittede/mistenkte
SA	3/05	sms
NL	3/05	stengt
DA	3/05	telefon
VG	3/05	testen
DB	3/06	avlyser
DB	3/06	beskjeden
DN	3/06	effektene
DA	3/06	gruppe
AA	3/06	historien
VG	3/06	karantenen
DN	3/06	konsekvenser
BT	3/06	nytt
DN	3/06	perioden
VG	3/06	rammet
AA	3/06	risikoen
VG	3/06	rådene
DN	3/06	sjokket
DA	3/06	stanser
DB	3/06	svar
AA	3/06	virusfrykt
DB	3/06	vits
SA	3/07	brems
VG	3/07	fase
DB	3/07	grepene
AA	3/07	hotell
VG	3/07	håndtering
AA	3/07	isolasjon
AA	3/07	kansellerte
DA	3/07	konferanse
VG	3/07	pandemien
DN	3/07	panikk
AP	3/07	panikken
AP	3/07	positive
BT	3/07	reglene
AA	3/07	restriksjoner
BT	3/07	status
AP	3/07	stenging
DB	3/07	virustider
AA	3/08	faren
BT	3/08	faste
VG	3/08	hensyn
AA	3/08	prøven
AA	3/08	relaterte
VG	3/08	smitt
AP	3/08	tider
DB	3/08	trend
VG	3/08	virusalarmen
AA	3/09	alarmen
DB	3/09	helvete
VG	3/09	infeksjonen
SA	3/09	jakt
DA	3/09	krisepakke
AP	3/09	kupp
VG	3/09	pasienten
SA	3/09	telefoner
SA	3/09	testingen
VG	3/09	uvær
BT	3/09	vedtak
AA	3/09	virusfrykten
SA	3/09	viruspandemien
DA	3/10	analyser
SA	3/10	avbestillinger
DA	3/10	avlysninger
DA	3/10	delen
VG	3/10	dugnad
VG	3/10	dødsraten
AA	3/10	eksponering
AA	3/10	eksponeringen
DB	3/10	eksponert
AA	3/10	endringer
AA	3/10	filmen
DB	3/10	håndteringen
VG	3/10	jobbproblemer
NL	3/10	knekken
AP	3/10	knipen
FV	3/10	konkurser
DB	3/10	krisa
DA	3/10	linja
VG	3/10	mareritt
VG	3/10	politikk
VG	3/10	praksis
AP	3/10	skandale
SA	3/10	smitta
VG	3/10	smittefaren
AA	3/10	spøkelset
VG	3/10	studie
DN	3/10	tiltakene
VG	3/10	trøbbelet
SA	3/10	villrede
VG	3/11	avlysning
AA	3/11	beredskapen
BT	3/11	forvirring
VG	3/11	infeksjon
AA	3/11	konsekvensene
DA	3/11	linjen
DB	3/11	masker
DN	3/11	problemene
DB	3/11	produkter
SA	3/11	smittefare
VG	3/11	smitteområder
VG	3/11	spesial
DN	3/11	splitt
DB	3/11	telefonene
DA	3/11	telt
DN	3/11	trenden
AA	3/12	anslag
NL	3/12	bekymringen
AA	3/12	forbehold
DA	3/12	frie
DA	3/12	handlingen
BT	3/12	hjelp
AP	3/12	isolat
DN	3/12	jus
BT	3/12	klinikk
BT	3/12	klinikken
DA	3/12	krav
DB	3/12	liknende
DA	3/12	linjene
DB	3/12	lock
NL	3/12	mottak
NL	3/12	mottaket
VG	3/12	planene
BT	3/12	podden
VG	3/12	positivt
VG	3/12	problemer
DA	3/12	psyken
DA	3/12	senter
DA	3/12	senteret
DB	3/12	smittesenteret
DA	3/12	stenger
VG	3/12	stengte
FV	3/12	utbredelse
SA	3/12	utsettelse
VG	3/12	varsel
BT	3/12	vern
NL	3/12	virusforløpet
VG	3/12	viruskrisen
VG	3/12	viruspasienter
AA	3/12	virussituasjon
DB	3/12	virustoppen
DB	3/13	asyl
VG	3/13	avlysningene
AP	3/13	bidrag
DN	3/13	boom
AP	3/13	diagnostikk
DB	3/13	fester
VG	3/13	forslag
SA	3/13	fri
SA	3/13	hjelpen
VG	3/13	isolert
AP	3/13	kaos
AA	3/13	kaoset
AA	3/13	knappen
AP	3/13	konto
VG	3/13	kontraster
NL	3/13	kortet
DN	3/13	kraft
DA	3/13	løft
DB	3/13	medisiner
DA	3/13	moralen
DB	3/13	musikal
DB	3/13	musikalen
AP	3/13	news
VG	3/13	overkjøre
AP	3/13	pakke
AP	3/13	rutinene
DA	3/13	sakene
VG	3/13	situasjon
SA	3/13	stansede
AP	3/13	strandede
DB	3/13	symptomer
AA	3/13	teste
AP	3/13	unntakstilstand
AA	3/13	utsatte
VG	3/13	virkningene
BT	3/13	virusprøver
DB	3/13	virussyke
AP	3/13	virustyper
NL	3/13	øvelse
VG	3/14	dvale
DB	3/14	dødsfallene
VG	3/14	handling
AA	3/14	henvendelser
BT	3/14	herjet
DB	3/14	hysteri
SA	3/14	informasjonen
DB	3/14	kommentar
DB	3/14	kommentarer
DA	3/14	kutt
AP	3/14	pandemiens
DN	3/14	rabatt
AA	3/14	regjering
DB	3/14	røde
SA	3/14	solidaritet
VG	3/14	spøk
DA	3/14	støvet
SA	3/14	tiden
SA	3/14	virusfaste
VG	3/15	bekreftelsen
NL	3/15	byks
BT	3/15	ferie
FV	3/15	hverdagen
VG	3/15	klausul
VG	3/15	konsertkonseptet
VG	3/15	krakket
AP	3/15	krisefond
AP	3/15	krisefondet
DB	3/15	lovene
VG	3/15	pause
DB	3/15	raseri
DN	3/15	responsen
BT	3/15	restriksjonen
AA	3/15	restriksjonene
DA	3/15	symptomene
AA	3/15	tiltakspakken
VG	3/15	tjeneste
AA	3/15	unntak
NL	3/15	utfordringer
VG	3/16	avgjørelsene
AA	3/16	bedragere
DA	3/16	bekjempelsen
AA	3/16	dugnaden
DB	3/16	døde
DB	3/16	dødstall
SA	3/16	epidemiens
VG	3/16	episenter
VG	3/16	farene
DB	3/16	forhandlinger
AA	3/16	koden
DB	3/16	komiteen
VG	3/16	krisens
VG	3/16	krisepakken
NL	3/16	kurvene
AA	3/16	linje
DB	3/16	rapport
SA	3/16	sjuke
AA	3/16	smittebærere
SA	3/16	trygt
SA	3/16	utgifter
AA	3/16	utsettelsene
DB	3/16	vaksinene
DA	3/16	virusspesial
VG	3/16	ølet
AA	3/17	avlyste
AA	3/17	begrunnelse
VG	3/17	fengselet
AA	3/17	isolasjonen
AA	3/17	isoleringen
AP	3/17	karantenesenter
VG	3/17	krisehjelp
AA	3/17	lån
DA	3/17	pakken
BT	3/17	saken
DB	3/17	sjokk
VG	3/17	strid
BT	3/17	sykdommen
SA	3/17	tidene
DB	3/17	vakt
AA	3/18	analyse
VG	3/18	baren
DA	3/18	bølge
DB	3/18	datainnsamling
AA	3/18	drakter
BT	3/18	eksil
DB	3/18	kart
DB	3/18	kartet
DB	3/18	kriselov
DA	3/18	legevakten
AP	3/18	lockdown
DB	3/18	lov
DB	3/18	loven
NL	3/18	party
BT	3/18	permittert
VG	3/18	permitterte
DA	3/18	risikogruppene
DA	3/18	sannsiger
DA	3/18	scenarioer
VG	3/18	smitteutbredelsen
DB	3/18	staben
VG	3/18	statsråder
NL	3/18	stenge
AA	3/18	stenginga
DA	3/18	usikkerhet
DB	3/18	uttalelser
AA	3/18	virusinnsats
AA	3/18	virustilfeller
DA	3/19	avlaster
AP	3/19	bekjempelse
NL	3/19	brevet
DB	3/19	brudd
AA	3/19	diagnose
SA	3/19	flytter
DB	3/19	forskriftene
AP	3/19	innleggelser
VG	3/19	inspirert
DB	3/19	kluss
AA	3/19	komité
VG	3/19	kriseledelse
NL	3/19	lignende
DB	3/19	marerittet
BT	3/19	medisin
VG	3/19	nens
DB	3/19	ofrene
DA	3/19	oppfølging
DA	3/19	pandemi
AA	3/19	permittering
VG	3/19	planer
FV	3/19	stenges
AA	3/19	tilskudd
VG	3/19	vesenet
DB	3/19	virusbehandling
VG	3/19	virusrasisme
AA	3/19	virustrenden
SA	3/20	bestemmelser
AP	3/20	dagene
AP	3/20	dans
DB	3/20	detektivene
DB	3/20	detektiver
VG	3/20	dødstallene
VG	3/20	enstid
AA	3/20	fond
AA	3/20	fravær
AA	3/20	fødestuen
AP	3/20	hits
BT	3/20	hjelper
BT	3/20	kampen
VG	3/20	klinikker
DB	3/20	kriseloven
AP	3/20	kroppen
AP	3/20	lovbrudd
BT	3/20	lovforslag
AP	3/20	maskot
AA	3/20	monitor
DN	3/20	mørket
DN	3/20	offer
AA	3/20	oppmuntring
AP	3/20	partys
DA	3/20	pausen
DA	3/20	psykens
VG	3/20	regningen
AA	3/20	relevant
VG	3/20	sjuk
AA	3/20	smittedes
AA	3/20	stengning
DB	3/20	straffene
DA	3/20	sykehjem
DB	3/20	tallene
SA	3/20	tapet
SA	3/20	troll
SA	3/20	trollet
AA	3/20	trussel
DB	3/20	tørke
VG	3/20	utbruddets
VG	3/20	utfordringen
BT	3/20	utrykninger
BT	3/20	utvalg
BT	3/20	utvalget
AP	3/20	versjon
AP	3/20	virusinfeksjonen
AP	3/20	viruskostyme
DN	3/20	virusspredningen
NL	3/20	økonomien
VG	3/21	advarsler
VG	3/21	akonsekvenser
AA	3/21	bestemmelsene
AA	3/21	eksperter
DN	3/21	eksport
AA	3/21	forbud
AA	3/21	gruppen
VG	3/21	herjede
BT	3/21	hjerne
AP	3/21	lover
VG	3/21	lunger
VG	3/21	perspektiv
DB	3/21	redd
BT	3/21	resesjonen
VG	3/21	sammenheng
AA	3/21	smittebefengte
SA	3/21	smitteråd
AA	3/21	søk
AA	3/21	søkene
DB	3/21	tid
VG	3/21	tilstander
AA	3/21	vaksiner
VG	3/21	virusmelding
DB	3/21	virusrelaterte
AP	3/22	dagboken
SA	3/22	dødsrate
DN	3/22	husleie
AA	3/22	influensaen
DB	3/22	kanselleringer
DN	3/22	kriserammet
AA	3/22	kriseteam
DB	3/22	lut
DA	3/22	pandemiet
DB	3/22	rammende
AA	3/22	smittetilfellet
AA	3/22	tiltakspakke
AP	3/22	tilværelsen
DB	3/22	vius
DB	3/23	angrep
VG	3/23	astrid
AA	3/23	bekjempelsens
VG	3/23	bildet
AP	3/23	brief
VG	3/23	eliten
SA	3/23	finte
AP	3/23	forskningen
DA	3/23	konklusjonene
VG	3/23	pasenter
VG	3/23	pågang
VG	3/23	sertifisert
AP	3/23	spesifikke
AA	3/23	statusen
VG	3/24	avdelinger
DN	3/24	belastede
DB	3/24	brev
AA	3/24	diskusjon
AA	3/24	dødstallet
DB	3/24	endres
SA	3/24	epedemien
AA	3/24	erfaringene
DA	3/24	fryktens
AP	3/24	innsats
AP	3/24	kampens
VG	3/24	katastrofen
SA	3/24	kjeftingen
VG	3/24	kollisjonskurs
DA	3/24	krisetiden
AA	3/24	krøll
AA	3/24	markedsføring
AA	3/24	minner
DB	3/24	mote
SA	3/24	politi
DB	3/24	protokoller
SA	3/24	rapporteringen
SA	3/24	regime
SA	3/24	regimet
VG	3/24	sang
BT	3/24	smittende
DA	3/24	snakk
VG	3/24	strategi
DB	3/24	tall
VG	3/24	testrestriksjoner
AA	3/24	tida
VG	3/24	timefortime
VG	3/24	transport
DB	3/24	tsunamien
VG	3/24	vettreglene
DA	3/25	ansvarlig
AP	3/25	dag
DB	3/25	drone
DB	3/25	innsatsen
SA	3/25	irritasjon
DA	3/25	karantener
NL	3/25	konkurs
VG	3/25	kostnadene
DA	3/25	kunnskap
AA	3/25	livet
AP	3/25	massedød
DA	3/25	medisinen
VG	3/25	modellen
AA	3/25	nervøse
BT	3/25	oppdrag
DA	3/25	ord
DA	3/25	statistikk
DA	3/25	stengingen
DB	3/25	stille
VG	3/25	stoppen
NL	3/25	tegninger
DA	3/25	undersøkelse
DB	3/25	virusrelatert
DB	3/26	aggresjonen
AA	3/26	avstanden
SA	3/26	bussen
VG	3/26	drama
AP	3/26	dugnadssporet
VG	3/26	dødelighet
DB	3/26	eksperten
BT	3/26	forsikringer
DB	3/26	general
DB	3/26	helsepersonell
